%time,field.destination_id0,field.destination_id1,field.destination_id2,field.destination_id3,field.destination_id4,field.destination_id5,field.destination_id6,field.destination_id7,field.destination_id8,field.destination_id9,field.distance0,field.stamp0,field.stamp1,field.stamp2
652028000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34767.5299704,652028000000,652028000000,652028000000
652128000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34826.2341312,652128000000,652128000000,652128000000
652228000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35380.2881209,652228000000,652228000000,652228000000
652329000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34823.3264134,652328000000,652328000000,652328000000
652429000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34751.8485771,652429000000,652429000000,652429000000
652529000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34983.3531631,652529000000,652529000000,652529000000
652630000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34955.4992021,652629000000,652629000000,652629000000
652730000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35268.0925906,652730000000,652730000000,652730000000
652830000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34963.3116405,652830000000,652830000000,652830000000
652931000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34747.3783593,652930000000,652930000000,652930000000
653031000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35210.5460562,653031000000,653031000000,653031000000
653131000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35246.9218392,653130000000,653130000000,653130000000
653231000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35049.5864081,653231000000,653231000000,653231000000
653332000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34965.5529571,653332000000,653332000000,653332000000
653432000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35165.1335388,653432000000,653432000000,653432000000
653532000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35379.7416913,653532000000,653532000000,653532000000
653633000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34242.5344441,653632000000,653632000000,653632000000
653733000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34888.352159,653733000000,653733000000,653733000000
653833000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35439.5419407,653833000000,653833000000,653833000000
653933000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35426.5161197,653933000000,653933000000,653933000000
654034000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,34810.4305149,654034000000,654034000000,654034000000
654134000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,35629.2620525,654134000000,654134000000,654134000000
